房源标题,详情页链接,描述,标签,初始价,成交价
Hi心房 沐年之夏/INS风温馨/私享影院房/投影设备/厨房/近地铁/近东莞火车站/电梯房/情侣闺蜜,https://m.tujia.com/detail/56170756.htm,"5星卫生分 
 近2年装修 
 巨幕投影 
 全天热水 
 可开发票 
 免费停车 
 前台接待 
 吹风机",1居1床2人 · 整套22㎡ ·,¥178,¥104¥178
东莞企石镇住宿公寓【豪华特价大床房】可加客可洗衣服·延迟退房·豪华装修·隔音隐私玻璃·电梯·近商业街,https://m.tujia.com/detail/73805281.htm,"优选民宿
 免费取消 
 暑期热销 
 可带宠物 
 5星卫生分 
 近2年装修 
 有洗衣机 
 全天热水",1居1床2-3人 · 整套40㎡ ·,¥130,¥78¥130
虎门滨海湾/可做饭/免费停车/管家式服务/雅乐轩居家公寓,https://m.tujia.com/detail/64896031.htm,"优选民宿
 免费取消 
 私家花园 
 房东实拍 
 可带宠物 
 免费瓶装水 
 干湿分离 
 5星卫生分",1居1床2-3人 · 整套30㎡ ·,¥118,¥94¥118
奶油风Ⅰ高清投影Ⅰ温馨1室l月租年租l近百花l近翔龙天地l近常平站Ⅰ近常平南I近木伦市场Ⅰ近隐贤山庄,https://m.tujia.com/detail/77364901.htm,"优选民宿
 免费取消 
 5星卫生分 
 近2年装修 
 团建会议 
 健身房 
 有投影 
 有洗衣机",1居1床2人 · 整套28㎡ ·,¥198,¥99¥198
新装修/豪华大床房/可住2人·电视/便利店·1卧[中大创客坊/华阳湖湿地公园],https://m.tujia.com/detail/75748132.htm,"优选民宿
 免费取消 
 免费瓶装水 
 近2年装修 
 全天热水 
 智能门锁 
 冷暖空调 
 有电梯",1居1床2人 · 整套40㎡ · 华阳湖度假区,¥147,¥111¥147
青创-印象公馆特惠大床房（独自洗衣机+高清投影）,https://m.tujia.com/detail/73707307.htm,"新开业 
 免费停车 
 宠物友好 
 畅享影音 
 行政酒廊 
 投影仪 
 免费洗衣服务 
 管家服务",1居1床2人 · 整套28㎡ · 可园,¥222,¥108¥222
金悦名宿 大床房,https://m.tujia.com/detail/54367600.htm,"全天热水 
 冷暖空调 
 超市/菜场 
 立即确认",1居1床2人 · 整套60㎡ ·,¥168,¥99¥168
【幸运星公寓】B3精致大床房/时尚装修/独立洗衣机/专用晾晒区/冷暖空调,https://m.tujia.com/detail/82963024.htm,"优选民宿
 免费取消 
 房东实拍 
 免费瓶装水 
 近2年装修 
 有洗衣机 
 智能马桶 
 全天热水",1居1床2人 · 整套23㎡ · 松山湖度假区,¥178,¥88¥178
【可月租】行政大床房/免费停车/洗衣机/正崴产业园/大朗镇站/东莞开放大学东坑分校/华仁商业步行街,https://m.tujia.com/detail/56223778.htm,"免费取消 
 免费瓶装水 
 5星卫生分 
 有洗衣机 
 全天热水 
 免费停车 
 充电桩 
 管家服务",1居1床2人 · 整套30㎡ ·,¥204,¥95¥204
东莞企石镇客房公寓【浪漫情侣吊床房】·恋爱特色·可加客洗衣服·延迟退房·豪华装修·隔音隐私玻璃·租房,https://m.tujia.com/detail/73826329.htm,"免费取消 
 可带宠物 
 5星卫生分 
 近2年装修 
 有洗衣机 
 全天热水 
 可开发票 
 付费停车位",1居1床2-3人 · 整套40㎡ ·,¥82,¥74¥82
【时尚特价大床房】东莞万江住宿公寓·免费停车场·自助洗衣房·领包住·华南MALL·万江中心·都会广场,https://m.tujia.com/detail/82150531.htm,"优选民宿
 免费取消 
 超赞房东 
 房东实拍 
 免费瓶装水 
 干湿分离 
 近2年装修 
 有洗衣机",1居1床2-3人 · 整套35㎡ · 可园,¥190,¥104¥190
金悦名宿.翠湖enjoy近翔龙天地可做饭近公园近火车站5分钟上高速停车位多超级便宜温馨！,https://m.tujia.com/detail/48209137.htm,"5星卫生分 
 观景露台 
 健身房 
 有洗衣机 
 全天热水 
 付费停车位 
 管家服务 
 吹风机",1居1床2人 · 整套38㎡ ·,¥119,¥91¥119
商务大双床房（空调房）,https://m.tujia.com/detail/65676820.htm,"免费取消 
 超赞房东 
 阳光房 
 免费瓶装水 
 5星卫生分 
 有餐食 
 健身房 
 有洗衣机",1居2床4-6人 · 整套35㎡ · 松山湖度假区,¥200,¥86¥200
时尚前卫普通公寓 电视+支持团建会议 1卧1床2人/东莞人民公园/东莞市汽车客运总站,https://m.tujia.com/detail/79454902.htm,"免费取消 
 房东实拍 
 5星卫生分 
 团建会议 
 全天热水 
 付费停车位 
 有空调 
 超市/菜场",1居1床2人 · 整套50㎡ · 可园,¥94,¥69¥94
【多哩咪公寓玲珑小居】近蛤地C2口/国贸/UCC/广东科技学院/水濂山水库/植物园/蜂汇广场,https://m.tujia.com/detail/72113575.htm,"免费取消 
 可带宠物 
 免费瓶装水 
 近2年装修 
 近地铁 
 有洗衣机 
 全天热水 
 付费停车位",1居1床1人 · 整套30㎡ · 国贸中心/西平,¥140,¥77¥140
新装修/雅韵/适合2人入住·公园·1卧1床[岭南美术馆/世博广场/迎恩门城楼],https://m.tujia.com/detail/81729037.htm,"优选民宿
 免费取消 
 房东实拍 
 5星卫生分 
 近2年装修 
 有洗衣机 
 全天热水 
 有空调",1居1床2人 · 整套30㎡ · 可园,¥55,¥49¥55
