价格_优惠价,评分_总评分,评分_如实描述,评分_服务周到,评分_干净卫生,评分_位置便利,评分_高性价比,评分_入住便捷,房东_评论数,房间情况_卧室数,房间情况_可住人数,房间情况_面积,房间情况_床总数量,房间情况_主床型长度,房间情况_主床型宽度,房间情况_主床型_单人床,房间情况_主床型_双层床,房间情况_主床型_大床,房间情况_主床型_榻榻米,要求_可接待老人,要求_可聚会,要求_可吸烟,要求_可带宠物,要求_可接待外宾,要求_可仅接待男性,要求_可做饭,要求_可接待婴儿,要求_可商业拍摄,要求_可接待儿童,设施_KTV,设施_SPA,设施_一线江景,设施_下午茶,设施_专业保洁,设施_专业大屏,设施_东南亚风格,设施_中式风,设施_中式风格,设施_中式餐厅,设施_乒乓球室,设施_乳胶床垫,设施_亲子主题房,设施_亲子精选,设施_亲子酒店,设施_付费停车位,设施_会议厅,设施_侘寂风,设施_供氧设施,设施_保龄球体验,设施_健身室,设施_健身课程,设施_儿童乐园,设施_儿童帐篷,设施_儿童托管,设施_儿童泳池,设施_儿童餐,设施_充电桩,设施_免费专车接站,设施_免费停车,设施_免费健身室,设施_免费客房WiFi,设施_免费接机,设施_免费接站,设施_免费接送站,设施_免费携带宠物,设施_免费洗衣服务,设施_免费班车,设施_免费行李寄存,设施_免费送站,设施_全天热水,设施_全屋暖气,设施_全景落地窗,设施_冷暖空调,设施_前台接待,设施_动人夜景,设施_卡通动漫主题,设施_原木风格,设施_可做饭,设施_可带宠物,设施_可开发票,设施_可携带宠物,设施_吊椅吊篮,设施_咖啡厅,设施_咖啡机,设施_商务中心,设施_商务差旅,设施_嗨唱KTV,设施_团建会议,设施_地中海风格,设施_地暖,设施_地标建筑,设施_城堡酒店,设施_复古风,设施_复式loft房,设施_多人开黑,设施_多功能厅,设施_大客厅,设施_太空舱,设施_套房,设施_奶油风,设施_宜人山色,设施_宝藏新房,设施_宠物友好,设施_室内恒温泳池,设施_室内按摩池,设施_室内泳池,设施_室外儿童乐园,设施_室外景观泳池,设施_室外泳池,设施_家庭影院,设施_家庭房,设施_宽松取消,设施_屋顶无边泳池,设施_屋顶景观泳池,设施_山景,设施_山景房,设施_山间美景,设施_工业风,设施_巨幕投影,设施_干衣机,设施_广式早茶,设施_影音房,设施_徒步旅行,设施_情侣房,设施_意大利餐厅,设施_户外电影院,设施_房东实拍,设施_投影仪,设施_拍照出片,设施_接机接站,设施_文化体验,设施_文艺风格,设施_新开业,设施_无烟楼层,设施_日式风,设施_星空房,设施_景观套房,设施_智能客控,设施_智能门锁,设施_智能马桶,设施_暂无,设施_有保证金,设施_有微波炉,设施_有投影,设施_有早餐,设施_有暖气,设施_有泳池,设施_有洗衣房,设施_有洗衣机,设施_有浴缸,设施_有烤箱,设施_有电梯,设施_有空调,设施_有音箱,设施_有餐食,设施_有麻将机,设施_机器人服务,设施_机械键盘,设施_树屋,设施_根雕体验,设施_格调小院,设施_桌游,设施_桌球室,设施_桑拿,设施_棋牌室,设施_棋牌房,设施_榻榻米房,设施_欧式风格,设施_欧美风,设施_民宿,设施_水上乐园,设施_水上嘉年华,设施_水上滑梯,设施_江河景房,设施_泳池,设施_泳池下午茶,设施_洗衣房,设施_洗衣服务,设施_浴缸,设施_游戏室,设施_湖景,设施_湖景房,设施_灯光秀,设施_灵活取消,设施_烘干机,设施_烧烤,设施_狗狗友好,设施_猫猫友好,设施_环形泳池,设施_环湖骑行,设施_现代风,设施_田园景观,设施_电竞,设施_电竞房,设施_电竞椅,设施_电竞舱,设施_电竞酒店,设施_电竞鼠标,设施_畅享影音,设施_私人泳池,设施_私家花园,设施_租车服务,设施_空中花园,设施_穿梭机场班车,设施_窗外好景,设施_立即确认,设施_管家服务,设施_网红INS风,设施_聚会轰趴,设施_自助入住,设施_自助早餐,设施_自营亲子房,设施_自营影音房,设施_自营电竞房,设施_艺术氛围,设施_花园,设施_花园景,设施_茶室,设施_萌宠喂养,设施_蓝牙音箱,设施_行政酒廊,设施_行李寄存,设施_观景落地窗,设施_观景露台,设施_超大落地窗,设施_超赞房东,设施_近古镇,设施_近地铁,设施_近火车站,设施_近高校,设施_适合家庭,设施_酒吧,设施_酒店房源,设施_钓鱼,设施_阳光房,设施_阳台房,设施_露台,设施_露营,设施_青年旅馆,设施_验真,设施_高尔夫球场,设施_高尔夫课程,设施_高层城景,设施_高空夜景,设施_高空餐厅,设施_鱼疗池,房东_房源数,位置_经度,位置_纬度,位置_火车站直线距离_km,其他_入住时间,其他_退房时间,其他_免费取消截止时间
41.0,4.0,4.0,4.0,4.0,4.0,,,1.0,1.0,1.0,18.0,1,2.0,1.2,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,113.774295,23.063661,,14.0,12.0,18.0
45.0,4.3,4.2,4.4,4.3,4.2,5.0,5.0,19.0,1.0,2.0,12.0,1,2.0,1.5,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,113.970533,23.031482,10.1,14.0,14.0,18.0
40.0,,,,,,,,0.0,,1.0,15.0,1,2.0,1.2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,114.040576,22.929815,4.8,14.0,12.0,18.0
41.0,3.4,3.3,3.7,3.3,3.3,5.0,5.0,3.0,1.0,2.0,12.0,1,2.0,1.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,114.151614,22.850026,17.5,14.0,12.0,20.0
30.0,4.7,4.5,4.8,4.8,4.8,5.0,5.0,13.0,1.0,1.0,15.0,1,2.0,1.2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,114.072705,22.910428,7.5,14.0,12.0,18.0
41.0,,,,,,,,0.0,1.0,2.0,10.0,1,2.0,1.5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,113.950479,22.984708,9.8,14.0,12.0,18.0
26.0,4.5,4.4,4.6,4.6,4.3,5.0,5.0,7.0,1.0,2.0,18.0,1,2.0,1.5,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,113.687896,22.968518,,14.0,12.0,23.0
45.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,10.0,1,2.0,1.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,113.72884,22.998344,,14.0,12.0,18.0
36.0,5.0,5.0,5.0,5.0,5.0,,,1.0,,2.0,16.0,1,2.0,1.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,113.932949,22.987086,11.6,,12.0,18.0
26.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,45.0,3,1.0,1.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,113.950123,22.949049,10.1,14.0,12.0,18.0
